                 Time,              V(M1:d)
0,-2.05E-16
8.00E-12,-0.000974807
1.60E-11,-0.002802359
3.20E-11,-0.009073859
6.40E-11,-0.0253627
1.28E-10,-0.068807915
2.56E-10,-0.149786979
5.12E-10,-0.263833344
1.00E-09,-0.405172795
1.05E-09,-0.417053789
1.15E-09,-0.434793353
1.36E-09,-0.454037458
1.77E-09,-0.465605855
2.57E-09,-0.466136336
3.37E-09,-0.465989739
4.17E-09,-0.465986848
4.97E-09,-0.465987444
5.77E-09,-0.465986639
6.57E-09,-0.465987206
7.37E-09,-0.465987086
8.17E-09,-0.465987682
8.97E-09,-0.465986639
9.77E-09,-0.465987235
1.00E-08,-0.465987086
1.01E-08,-0.465987474
1.02E-08,-0.465986878
1.06E-08,-0.46598655
1.12E-08,-0.465987742
1.20E-08,-0.465987056
1.28E-08,-0.465987235
1.36E-08,-0.465986609
1.44E-08,-0.465987682
1.52E-08,-0.465987056
1.60E-08,-0.465987265
1.68E-08,-0.465986609
1.76E-08,-0.465987682
1.84E-08,-0.465987056
1.92E-08,-0.465354204
2.00E-08,-0.410377204
2.08E-08,-0.23649101
2.16E-08,-0.150460288
2.24E-08,-0.110811606
2.32E-08,-0.086926833
2.40E-08,-0.071371742
2.48E-08,-0.060444575
2.56E-08,-0.052432921
2.64E-08,-0.046251491
2.72E-08,-0.041397046
2.80E-08,-0.037434198
2.88E-08,-0.03417914
2.96E-08,-0.031438462
3.00E-08,-0.030226758
3.01E-08,-0.030221637
3.02E-08,-0.030221416
3.06E-08,-0.03022163
3.12E-08,-0.030221408
3.20E-08,-0.030221624
3.28E-08,-0.030221624
3.36E-08,-0.030221624
3.44E-08,-0.030221624
3.52E-08,-0.030221624
3.60E-08,-0.030221624
3.68E-08,-0.030221624
3.76E-08,-0.030221624
3.84E-08,-0.030221624
3.92E-08,-0.030221624
4.00E-08,-0.030221399
