                 Time,              V(M1:d)
0,4.53E-19
6.00E-12,3.72E-12
1.20E-11,9.76E-12
2.40E-11,2.62E-11
4.80E-11,8.10E-11
9.60E-11,2.62E-10
1.92E-10,5.53E-05
3.24E-10,0.000898464
5.72E-10,0.008279244
1.00E-09,0.064449012
1.04E-09,0.073000722
1.13E-09,0.090062276
1.31E-09,0.124236003
1.66E-09,0.192574233
2.26E-09,0.309894085
2.86E-09,0.427173316
3.46E-09,0.544448733
4.06E-09,0.661661267
4.66E-09,0.778469265
5.26E-09,0.894990265
5.86E-09,1.010709882
6.46E-09,1.126746297
7.06E-09,1.242804527
7.66E-09,1.358483791
8.26E-09,1.472496152
8.86E-09,1.587066293
9.46E-09,1.701571584
1.00E-08,1.804873347
1.00E-08,1.966059446
1.01E-08,2.285608292
1.02E-08,2.822264433
1.03E-08,3.276282787
1.04E-08,4.072905064
1.06E-08,5.03764534
1.07E-08,5.188573837
1.07E-08,5.341540337
1.07E-08,5.50560236
1.08E-08,5.627013206
1.09E-08,5.630767345
1.10E-08,5.62116003
1.10E-08,5.603194237
1.10E-08,5.579269409
1.11E-08,5.551640511
1.11E-08,5.519948959
1.12E-08,5.489390373
1.14E-08,5.454389572
1.18E-08,5.393565655
1.22E-08,5.310723305
1.28E-08,5.204286098
1.34E-08,5.097854614
1.40E-08,4.991417408
1.46E-08,4.884980202
1.52E-08,4.778542995
1.58E-08,4.672111988
1.64E-08,4.56567812
1.70E-08,4.459240437
1.76E-08,4.352807999
1.82E-08,4.246494293
1.88E-08,4.140659332
1.94E-08,4.035228252
2.00E-08,3.933204412
2.00E-08,3.791971922
2.01E-08,3.510306597
2.02E-08,2.950341463
2.03E-08,2.16036582
2.06E-08,0.697610974
2.07E-08,0.479286969
2.07E-08,0.32760793
2.08E-08,0.027586389
2.09E-08,-0.54624176
2.10E-08,-0.636641026
2.10E-08,-0.612225533
2.10E-08,-0.582117915
2.11E-08,-0.549082518
2.11E-08,-0.529579163
2.12E-08,-0.501893044
2.13E-08,-0.479912519
2.15E-08,-0.439782917
2.19E-08,-0.363163352
2.25E-08,-0.245743304
2.31E-08,-0.128388375
2.37E-08,-0.010948238
2.43E-08,0.106410027
2.49E-08,0.223783553
2.55E-08,0.341157079
2.61E-08,0.458530605
2.67E-08,0.575904131
2.73E-08,0.693124533
2.79E-08,0.810096502
2.85E-08,0.927335083
2.91E-08,1.044351578
2.97E-08,1.159492373
3.00E-08,1.222896576
