                 Time,               I(VT3)
0,-2.01E-12
2.00E-12,-0.192697659
2.17E-12,-0.209238499
2.52E-12,-0.242212281
3.21E-12,-0.307518303
4.58E-12,-0.435605347
7.34E-12,-0.68199867
1.29E-11,-1.138066292
2.39E-11,-1.920437217
4.59E-11,-3.075903177
8.95E-11,-4.328124046
1.56E-10,-4.92389679
2.70E-10,-4.917098999
4.61E-10,-4.627736092
6.61E-10,-4.46249485
8.61E-10,-4.328530312
1.00E-09,-4.258847713
1.02E-09,-1.458848715
1.06E-09,2.344566345
1.14E-09,4.420641899
1.30E-09,4.576339722
1.49E-09,4.682080746
1.69E-09,4.833576679
1.89E-09,5.0549016
2.00E-09,5.265636444
2.01E-09,3.817762136
2.02E-09,1.394266844
2.06E-09,-1.831396341
2.11E-09,-4.095590591
2.16E-09,-4.704879284
2.21E-09,-4.882299423
2.31E-09,-4.832579613
2.51E-09,-4.578045845
2.71E-09,-4.404695511
2.91E-09,-4.307357788
3.00E-09,-4.258821487
3.02E-09,-1.458831072
3.06E-09,2.344571352
3.14E-09,4.90867424
3.30E-09,4.428626537
3.50E-09,4.73171854
3.70E-09,4.827298164
3.90E-09,5.060420036
4.00E-09,7.272852898
4.02E-09,5.211910248
4.06E-09,1.142980456
4.14E-09,-6.724694729
4.20E-09,-9.235459328
4.25E-09,-6.394757748
4.30E-09,-5.149019241
4.37E-09,-4.604384899
4.50E-09,-4.405384064
4.70E-09,-4.505679607
4.90E-09,-4.280648708
5.00E-09,-4.261313915
5.02E-09,-1.460537672
5.06E-09,2.343947172
5.14E-09,4.42058897
5.30E-09,4.576304913
5.47E-09,4.651564598
5.67E-09,4.818145752
5.87E-09,5.036876678
6.00E-09,15.42916965
6.02E-09,13.26030636
6.06E-09,9.007549286
6.14E-09,0.794149935
6.30E-09,-14.52634144
6.40E-09,-18.32623482
6.46E-09,-7.312875271
6.51E-09,-4.431220055
6.57E-09,-3.905383587
6.68E-09,-4.034968853
6.82E-09,-4.455300808
7.00E-09,-4.222280502
7.02E-09,-1.434152603
7.06E-09,2.353195906
7.14E-09,4.420598984
7.30E-09,4.575969696
7.45E-09,4.644108772
7.65E-09,4.806602955
7.85E-09,9.145478249
8.00E-09,23.12794113
8.02E-09,20.86903954
8.06E-09,16.43978119
8.14E-09,7.90366745
8.30E-09,-8.096277237
8.50E-09,-25.86436081
8.62E-09,-21.38777161
8.72E-09,-3.669065237
8.79E-09,-2.198913336
8.87E-09,-3.078995705
9.00E-09,-4.045855045
9.01E-09,-1.859689116
9.04E-09,1.390066624
9.10E-09,3.909178495
9.22E-09,4.603447914
9.35E-09,4.565371513
9.55E-09,4.727884293
9.75E-09,7.757146835
9.95E-09,26.28991127
1.00E-08,30.58441925
