                 Time,              V(C2:2),              V(C1:2)
0,-6.18E-19,6.92E-19
1.00E-11,0.008914152,0.002388204
2.00E-11,0.017860088,0.004785534
4.00E-11,0.035752326,0.009580299
7.06E-11,0.063143015,0.016920486
1.01E-10,0.169797644,0.08358606
1.29E-10,0.299070746,0.149746627
1.71E-10,0.490814,0.24665913
2.55E-10,0.874913573,0.441164613
4.22E-10,1.643361568,0.833495915
7.57E-10,3.165083408,1.63305676
1.00E-09,4.241473198,2.226742029
1.06E-09,4.224634171,2.234186649
1.17E-09,4.18957901,2.246734381
1.41E-09,4.122037888,2.271045208
1.87E-09,3.996445656,2.316593647
2.80E-09,3.778746605,2.396429062
4.66E-09,3.448659658,2.519604683
6.66E-09,3.215025663,2.608178139
8.66E-09,3.0629251,2.666600227
1.00E-08,2.991964579,2.693959475
1.01E-08,2.529604197,2.458043098
1.02E-08,2.083960295,2.227122784
1.04E-08,1.210919261,1.775887728
1.08E-08,-0.523281872,0.957248032
1.10E-08,-0.714533031,0.849713981
1.10E-08,-0.699305356,0.849743068
1.10E-08,-0.677697957,0.849737763
1.10E-08,-0.653648198,0.849727392
1.10E-08,-0.638099909,0.849716842
1.11E-08,-0.623309612,0.849701464
1.11E-08,-0.614964724,0.849684656
1.12E-08,-0.603498459,0.849655151
1.12E-08,-0.596280694,0.84963131
1.14E-08,-0.585896492,0.849589467
1.16E-08,-0.572696924,0.849521458
1.20E-08,-0.560649812,0.849480689
1.25E-08,-0.537637413,0.849458218
1.28E-08,-0.530718029,0.849455178
1.32E-08,-0.522662163,0.84945333
1.41E-08,-0.511478484,0.84945184
1.59E-08,-0.498742938,0.84945178
1.79E-08,-0.489568174,0.84945178
1.99E-08,-0.482866973,0.84945178
2.00E-08,-0.482649893,0.84945178
2.00E-08,-0.48046577,0.850034237
2.00E-08,-0.476040184,0.851216972
2.00E-08,-0.439064473,0.853582382
2.00E-08,-0.38804239,0.855855048
2.00E-08,-0.286708444,0.860398471
2.01E-08,-0.157740563,0.86625582
2.01E-08,0.095167473,0.877954781
2.02E-08,0.578572154,0.960647523
2.04E-08,1.428751707,1.38244915
2.07E-08,2.889339685,2.137279749
2.10E-08,4.127556324,2.797300339
2.10E-08,4.122364998,2.80061698
2.11E-08,4.11037159,2.805060387
2.12E-08,4.08677578,2.813800335
2.15E-08,4.040655136,2.830799341
2.20E-08,3.956231117,2.862283945
2.30E-08,3.810786247,2.916944742
2.50E-08,3.600625038,2.99684453
2.70E-08,3.458678961,3.0513587
2.90E-08,3.362939119,3.088381052
3.00E-08,3.329376221,3.101412535
3.01E-08,2.867555618,2.864666462
3.02E-08,2.439738512,2.642772675
3.04E-08,1.590686679,2.205160618
3.08E-08,-0.114374362,1.451853871
3.10E-08,-0.701693118,1.387783289
3.10E-08,-0.689999938,1.387822151
3.10E-08,-0.671922147,1.387816548
3.10E-08,-0.65055573,1.387805343
3.10E-08,-0.634251773,1.387792468
3.11E-08,-0.619540393,1.387774825
3.11E-08,-0.610434353,1.38775444
3.12E-08,-0.599176824,1.387722015
3.13E-08,-0.59165293,1.387694359
3.15E-08,-0.58095324,1.387646317
3.18E-08,-0.568376482,1.38757503
3.22E-08,-0.551835001,1.387531161
3.27E-08,-0.534344912,1.387512803
3.33E-08,-0.521297634,1.387504578
3.40E-08,-0.511363268,1.387501001
3.56E-08,-0.500340164,1.387501001
3.76E-08,-0.490658998,1.387501001
3.96E-08,-0.483699411,1.387501001
4.00E-08,-0.482426077,1.387501001
4.00E-08,-0.4757137,1.389294744
4.00E-08,-0.410848528,1.392899036
4.00E-08,-0.301130503,1.397766232
