                 Time,              V(C2:2),              V(C1:2)
4.01E-08,-0.189302504,1.402859449
4.01E-08,0.031219218,1.413037419
4.02E-08,0.474291146,1.433286786
4.04E-08,1.286148667,1.672224045
4.06E-08,2.331129074,2.202834129
4.10E-08,4.188149929,3.173022032
4.10E-08,4.182754517,3.176614761
4.11E-08,4.170531273,3.181195736
4.13E-08,4.146644592,3.190174103
4.17E-08,4.100341797,3.207505465
4.24E-08,4.018070221,3.23864603
4.39E-08,3.883232832,3.290065527
4.59E-08,3.751110315,3.340893507
4.79E-08,3.659748316,3.376276493
4.99E-08,3.596649885,3.400837421
5.00E-08,3.594956875,3.401492119
5.00E-08,3.511044502,3.359378099
5.01E-08,3.342017412,3.273003578
5.01E-08,3.011442423,3.102670431
5.03E-08,2.363589764,2.768284321
5.06E-08,1.075001001,2.126207113
5.06E-08,0.831867456,2.017504454
5.07E-08,0.659481227,1.947916865
5.07E-08,0.297855794,1.850501776
5.09E-08,-0.49781847,1.811107635
5.10E-08,-0.70030731,1.783113241
5.10E-08,-0.693505228,1.783102512
5.10E-08,-0.681330681,1.783098578
5.10E-08,-0.664993465,1.78309226
5.10E-08,-0.64589256,1.783081055
5.11E-08,-0.634176373,1.783067942
5.11E-08,-0.620703936,1.783046722
5.11E-08,-0.612431824,1.783028841
5.12E-08,-0.600981593,1.78299737
5.14E-08,-0.588139057,1.782950044
5.16E-08,-0.57593745,1.782890558
5.19E-08,-0.565254986,1.782824636
5.23E-08,-0.545751333,1.782788634
5.27E-08,-0.534660518,1.782779813
5.33E-08,-0.521872282,1.782773614
5.42E-08,-0.5114308,1.782773614
5.61E-08,-0.498078108,1.782773614
5.81E-08,-0.489107013,1.782773614
6.00E-08,-0.482912451,1.782773614
6.00E-08,-0.382263839,1.789406776
6.01E-08,-0.090555958,1.802685142
6.01E-08,0.206771806,1.816405535
6.02E-08,0.488893539,1.829236627
6.03E-08,1.055724978,1.871108413
6.05E-08,2.034473896,2.312403679
6.08E-08,3.382932901,3.006818771
6.10E-08,4.23181963,3.45069623
6.10E-08,4.228791237,3.453246117
6.11E-08,4.221854687,3.455874681
6.13E-08,4.20825386,3.461040974
6.15E-08,4.181704998,3.471085072
6.21E-08,4.132947922,3.489682674
6.33E-08,4.048756123,3.521949291
6.53E-08,3.936218023,3.565375566
6.73E-08,3.857017994,3.596124649
6.93E-08,3.8013165,3.617846012
7.00E-08,3.785354137,3.624084711
7.01E-08,3.32731843,3.388451576
7.02E-08,2.892147779,3.162956476
7.04E-08,2.025445938,2.71948576
7.08E-08,0.190267339,2.127901316
7.08E-08,0.050300758,2.121072292
7.08E-08,-0.047326867,2.116377354
7.09E-08,-0.245816603,2.107000351
7.09E-08,-0.634482086,2.088321686
7.10E-08,-0.711604059,2.074463367
7.10E-08,-0.700646579,2.074451923
7.10E-08,-0.683603168,2.074447632
7.10E-08,-0.663052201,2.074440241
7.10E-08,-0.64492619,2.07442975
7.11E-08,-0.633827031,2.074417114
7.11E-08,-0.621723473,2.074398041
7.11E-08,-0.61349082,2.074380875
7.12E-08,-0.602078497,2.074350357
7.13E-08,-0.588690519,2.074301958
7.16E-08,-0.576830566,2.074244976
7.18E-08,-0.565889716,2.074178457
7.23E-08,-0.547540188,2.074144125
7.25E-08,-0.538252473,2.074137688
7.31E-08,-0.525773942,2.074132442
7.39E-08,-0.515654206,2.074132442
7.55E-08,-0.50256604,2.074132442
7.75E-08,-0.492137372,2.074132442
7.95E-08,-0.484813094,2.074132442
8.00E-08,-0.483141989,2.074132442
8.00E-08,-0.474963367,2.076318264
8.00E-08,-0.385136455,2.08070612
8.00E-08,-0.268045336,2.085890293
8.01E-08,-0.149583384,2.091317654
8.01E-08,0.08454445,2.102158546
8.02E-08,0.558337629,2.12370491
8.04E-08,1.486517429,2.257051945
8.07E-08,3.043319464,3.021371365
8.10E-08,4.261785507,3.656713486
8.11E-08,4.25813818,3.659540415
8.12E-08,4.249163628,3.662913799
8.14E-08,4.231966972,3.669472456
8.19E-08,4.199664116,3.681857347
8.29E-08,4.142441273,3.703890324
8.49E-08,4.052710533,3.738651752
8.69E-08,3.987775326,3.763936996
8.89E-08,3.941505432,3.782021046
9.00E-08,3.921943188,3.789684534
9.01E-08,3.465655327,3.554675341
9.02E-08,2.813077211,3.216625929
9.05E-08,1.507192373,2.572888374
9.10E-08,-0.652020335,2.290433168
9.10E-08,-0.649656415,2.290462971
9.10E-08,-0.643283367,2.29045701
9.10E-08,-0.633279443,2.290445089
9.11E-08,-0.619669795,2.290424585
9.12E-08,-0.602891326,2.290389538
9.13E-08,-0.592057347,2.290352106
9.15E-08,-0.579725504,2.290296793
9.16E-08,-0.572191477,2.290254354
9.20E-08,-0.560484469,2.290215015
9.25E-08,-0.536822736,2.290191412
9.28E-08,-0.530006409,2.290188551
9.33E-08,-0.521958828,2.290186405
9.42E-08,-0.510793388,2.290184975
9.60E-08,-0.498084158,2.290184975
9.80E-08,-0.489111245,2.290184975
1.00E-07,-0.482540965,2.290184975
