                 Time,              V(C2:2),              V(C1:2)
9.00E-08,0.894399941,0.23966299
9.01E-08,0.80497086,0.215698332
9.03E-08,0.626048505,0.167750672
9.07E-08,0.268203735,0.071855359
9.10E-08,-0.000173713,-6.45E-05
9.10E-08,-0.000205333,-7.36E-05
9.10E-08,-0.000206034,-7.38E-05
9.10E-08,-0.000205763,-7.37E-05
9.10E-08,-0.000205754,-7.37E-05
9.11E-08,-0.000205759,-7.37E-05
9.12E-08,-0.000205797,-7.37E-05
9.13E-08,-0.000205903,-7.38E-05
9.17E-08,-0.000205947,-7.38E-05
9.24E-08,-0.000205982,-7.38E-05
9.37E-08,-0.000205994,-7.38E-05
9.57E-08,-0.000206041,-7.38E-05
9.77E-08,-0.000206094,-7.38E-05
9.97E-08,-0.000206137,-7.38E-05
1.00E-07,-0.00020617,-7.38E-05
