                 Time,              V(C1:2)
2.64E-07,3.965438843
2.65E-07,3.652430773
2.66E-07,3.026412487
2.69E-07,1.938500404
2.72E-07,1.224061608
2.74E-07,0.689064085
2.74E-07,0.689010441
2.75E-07,0.689010382
2.76E-07,0.689010382
2.78E-07,0.689010441
2.83E-07,0.689010561
2.84E-07,0.689010561
2.84E-07,0.689010561
2.84E-07,0.689010561
2.84E-07,0.689010561
2.85E-07,0.689010561
2.86E-07,0.689010561
2.88E-07,0.689010561
2.90E-07,0.689010561
2.90E-07,0.671414077
2.90E-07,0.636148691
2.91E-07,0.565617442
2.92E-07,0.424554884
2.95E-07,0.142429724
2.99E-07,-0.421477973
3.00E-07,-0.521538794
