                 Time,               I(VT3)
0,-2.01E-12
2.00E-12,-0.192697659
2.17E-12,-0.209238499
2.52E-12,-0.242212281
3.21E-12,-0.307518303
4.58E-12,-0.435605347
7.34E-12,-0.68199867
1.29E-11,-1.138066292
2.39E-11,-1.920437217
4.59E-11,-3.075903177
8.95E-11,-4.328124046
1.56E-10,-4.92389679
2.70E-10,-4.917098999
4.61E-10,-4.627736092
6.61E-10,-4.46249485
8.61E-10,-4.328530312
1.00E-09,-4.258847713
1.02E-09,-1.458848715
1.06E-09,2.344566345
1.14E-09,4.420641899
1.30E-09,4.576339722
1.49E-09,4.682080746
1.69E-09,4.833576679
1.89E-09,5.0549016
2.00E-09,5.265636444
2.01E-09,3.817762136
2.02E-09,1.394266844
2.06E-09,-1.831396341
2.11E-09,-4.095590591
2.16E-09,-4.704879284
2.21E-09,-4.882299423
2.31E-09,-4.832579613
2.51E-09,-4.578045845
2.71E-09,-4.404695511
2.91E-09,-4.307357788
3.00E-09,-4.258821487
3.02E-09,-1.458831072
3.06E-09,2.344571352
3.14E-09,4.90867424
3.30E-09,4.428626537
3.50E-09,4.73171854
3.70E-09,4.827298641
3.90E-09,5.060420513
4.00E-09,7.272852898
4.02E-09,5.211910248
4.06E-09,1.142980456
4.14E-09,-6.724694729
4.20E-09,-9.235458374
4.25E-09,-6.394756317
4.30E-09,-5.149015903
4.37E-09,-4.604380131
4.50E-09,-4.405375481
4.70E-09,-4.505663872
4.90E-09,-4.280623913
5.00E-09,-4.261284351
5.02E-09,-1.460507393
5.06E-09,2.343979359
5.14E-09,4.420623302
5.30E-09,4.57634306
5.47E-09,4.651605129
5.67E-09,4.818185806
5.87E-09,5.036900043
6.00E-09,15.42917061
6.02E-09,13.26030731
6.06E-09,9.007549286
6.14E-09,0.794150412
6.30E-09,-14.52634048
6.40E-09,-18.32620049
6.46E-09,-7.312813282
6.51E-09,-4.431128502
6.57E-09,-3.905267
6.68E-09,-4.034812927
6.82E-09,-4.455101013
7.00E-09,-4.222020626
7.02E-09,-1.433886766
7.06E-09,2.353471518
7.14E-09,4.420883179
7.30E-09,4.576249123
7.45E-09,4.644371033
7.65E-09,4.806810856
7.85E-09,9.145493507
8.00E-09,23.12794876
8.02E-09,20.86904335
8.06E-09,16.439785
8.14E-09,7.903670788
8.30E-09,-8.096273422
8.50E-09,-25.86434746
8.62E-09,-21.38747597
8.72E-09,-3.668581247
8.79E-09,-2.198301077
8.87E-09,-3.078282833
9.00E-09,-4.045005322
9.01E-09,-1.858828068
9.04E-09,1.390946507
9.10E-09,3.910073996
9.22E-09,4.604317665
9.35E-09,4.566175461
9.55E-09,4.728520393
9.75E-09,7.759213448
9.95E-09,26.29195976
1.00E-08,30.58436584
