                 Time,              V(M1:d)
0,4.53E-19
6.00E-12,3.72E-12
1.20E-11,9.76E-12
2.40E-11,2.62E-11
4.80E-11,8.10E-11
9.60E-11,2.62E-10
1.92E-10,0.003215314
3.24E-10,0.051910035
5.48E-10,0.400814444
7.66E-10,1.308107615
1.00E-09,2.820930004
1.04E-09,3.085015297
1.11E-09,3.547549725
1.27E-09,4.211348534
1.57E-09,4.855779171
2.17E-09,5.134795189
2.74E-09,5.08258152
3.34E-09,4.988675117
3.94E-09,4.984322071
4.54E-09,4.993838787
5.14E-09,5.001538754
5.74E-09,5.001993656
6.34E-09,5.001078129
6.94E-09,5.001204967
7.54E-09,5.001318932
8.14E-09,5.001351357
8.74E-09,5.001346588
9.34E-09,5.001339912
9.94E-09,5.001340866
1.00E-08,5.00112009
1.00E-08,5.031225681
1.00E-08,5.089501381
1.00E-08,5.196981907
1.01E-08,5.380719185
1.02E-08,5.594407558
1.03E-08,5.611881733
1.04E-08,5.592110157
1.06E-08,5.333908558
1.09E-08,3.538210392
1.09E-08,3.443546295
1.09E-08,3.253680468
1.10E-08,2.875487089
1.10E-08,2.594751835
1.10E-08,2.490119457
1.10E-08,2.292425871
1.10E-08,1.922234774
1.11E-08,1.321320176
1.12E-08,0.56118679
1.14E-08,0.047288056
1.17E-08,-0.005207596
1.21E-08,-0.009201735
1.27E-08,0.003109199
1.33E-08,0.00184687
1.39E-08,0.001194293
1.45E-08,0.001149597
1.51E-08,0.0011653
1.57E-08,0.000370181
1.62E-08,0.000333415
1.68E-08,0.00028571
1.74E-08,0.000280606
1.80E-08,0.00028151
1.86E-08,0.000282011
1.92E-08,0.000281835
1.98E-08,0.000281795
2.00E-08,0.000739225
2.00E-08,-0.044966727
2.00E-08,-0.131481156
2.01E-08,-0.270702243
2.02E-08,-0.436450005
2.02E-08,-0.513751507
2.03E-08,-0.577623844
2.05E-08,-0.578288794
2.09E-08,0.128759712
2.10E-08,0.644911706
2.10E-08,0.755298555
2.10E-08,0.973234236
2.11E-08,1.395060182
2.11E-08,2.165105343
2.13E-08,3.368777275
2.16E-08,4.598698139
2.21E-08,5.000424862
2.25E-08,5.049702168
2.31E-08,5.028789997
2.37E-08,5.008214951
2.43E-08,4.999467373
2.49E-08,4.998644352
2.55E-08,4.999727726
2.61E-08,5.00031805
2.67E-08,4.999969006
2.73E-08,4.999759197
2.79E-08,4.999763489
2.85E-08,4.999782085
2.91E-08,4.99974966
2.97E-08,4.999775887
3.00E-08,4.999694824
