                 Time,              V(M1:d)
0,4.53E-19
1.00E-11,0.0005
2.00E-11,0.001
4.00E-11,0.002000008
8.00E-11,0.004000025
1.60E-10,0.787237048
2.55E-10,1.274145246
3.49E-10,1.744789004
4.48E-10,2.240061045
6.46E-10,3.230353832
1.00E-09,4.99877882
1.04E-09,5.000003815
1.12E-09,5.000020981
1.28E-09,5.000012398
1.59E-09,5.000012398
2.23E-09,5.000012398
3.50E-09,5.000012398
5.50E-09,5.000012398
7.50E-09,5.000012398
9.50E-09,5.000012398
1.15E-08,5.000012398
1.35E-08,5.000012875
1.55E-08,5.000012875
1.75E-08,5.000012875
1.95E-08,5.000012875
2.15E-08,5.000012875
2.35E-08,5.000012875
2.55E-08,5.000012875
2.75E-08,5.000012875
2.95E-08,5.000013351
3.15E-08,4.968130112
3.35E-08,4.916536331
3.55E-08,4.862454414
3.75E-08,4.805859089
3.95E-08,4.746103287
4.15E-08,4.682071686
4.35E-08,4.611952305
4.55E-08,4.532604694
4.75E-08,4.437820911
4.95E-08,4.311774254
5.15E-08,4.063074589
5.35E-08,1.66654408
5.54E-08,0.679962635
5.74E-08,0.377953619
5.94E-08,0.258158803
6.14E-08,0.196923211
6.34E-08,0.158448949
6.54E-08,0.130679011
6.74E-08,0.108801551
6.94E-08,0.090622626
7.14E-08,0.075075589
7.34E-08,0.059714943
7.54E-08,0.040077053
7.74E-08,0.023495808
7.94E-08,0.01303122
8.14E-08,0.005926355
8.34E-08,0.001571478
8.54E-08,4.44E-06
8.74E-08,3.69E-06
8.94E-08,3.71E-06
9.14E-08,3.70E-06
9.34E-08,3.69E-06
9.54E-08,3.68E-06
9.74E-08,3.67E-06
9.94E-08,3.67E-06
1.00E-07,3.66E-06
