                 Time,               I(VT1)
0,-2.56E-22
4.00E-11,-7.37E-09
8.00E-11,-1.17E-08
1.60E-10,-1.53E-08
3.20E-10,-1.79E-08
6.40E-10,-1.64E-08
1.28E-09,-1.55E-08
2.56E-09,-1.33E-08
5.12E-09,-1.12E-08
9.12E-09,-9.01E-09
1.31E-08,-8.09E-09
1.71E-08,-7.01E-09
2.00E-08,-6.83E-09
2.04E-08,6.04E-09
2.12E-08,7.47E-09
2.28E-08,6.53E-09
2.60E-08,8.29E-09
3.00E-08,8.24E-09
3.40E-08,1.10E-08
3.80E-08,1.31E-08
4.20E-08,1.08E-07
4.60E-08,1.27E-06
5.00E-08,2.50E-06
5.40E-08,3.74E-06
5.80E-08,4.98E-06
6.00E-08,5.61E-06
6.04E-08,5.48E-06
6.12E-08,5.24E-06
6.28E-08,4.77E-06
6.60E-08,4.00E-06
7.00E-08,2.95E-06
7.40E-08,1.80E-06
7.80E-08,6.04E-07
8.20E-08,-6.08E-07
8.60E-08,-1.83E-06
9.00E-08,-3.06E-06
9.40E-08,-4.30E-06
9.80E-08,-5.53E-06
1.00E-07,-6.15E-06
1.00E-07,-6.15E-06
1.01E-07,-6.14E-06
1.03E-07,-6.12E-06
1.06E-07,-6.01E-06
1.10E-07,-8.74E-08
1.14E-07,8.55E-08
1.18E-07,1.14E-09
1.20E-07,-1.37E-10
1.20E-07,7.00E-09
1.21E-07,7.78E-09
1.23E-07,7.67E-09
1.26E-07,8.62E-09
1.30E-07,1.01E-08
1.34E-07,1.24E-08
1.38E-07,1.79E-08
1.42E-07,7.28E-07
1.46E-07,2.07E-06
1.50E-07,3.43E-06
1.54E-07,4.79E-06
1.58E-07,6.16E-06
1.60E-07,6.85E-06
1.60E-07,6.71E-06
1.61E-07,6.45E-06
1.63E-07,5.92E-06
1.66E-07,4.98E-06
1.70E-07,3.83E-06
1.74E-07,2.57E-06
1.78E-07,1.27E-06
1.82E-07,-6.11E-08
1.86E-07,-1.40E-06
1.90E-07,-2.76E-06
1.94E-07,-4.11E-06
1.98E-07,-5.47E-06
2.00E-07,-6.15E-06
