                 Time,              V(M1:d)
0,-2.40E-28
8.00E-12,-2.98E-05
1.60E-11,-8.93E-05
3.20E-11,-0.000325587
6.40E-11,-0.001030718
1.28E-10,-0.003809031
2.56E-10,-0.014582699
5.12E-10,-0.055151954
1.00E-09,-0.191093788
1.05E-09,-0.227116406
1.15E-09,-0.295347095
1.36E-09,-0.422094017
1.41E-09,-0.448597401
1.51E-09,-0.479960948
1.72E-09,-0.490126282
2.13E-09,-0.494477272
2.93E-09,-0.48577401
3.73E-09,-0.375354528
4.53E-09,-0.4650653
5.33E-09,-0.466206908
6.13E-09,-0.466004461
6.93E-09,-0.465999454
7.73E-09,-0.465999961
8.53E-09,-0.465999931
9.33E-09,-0.465999901
1.00E-08,-0.465999782
1.01E-08,-0.465974808
1.02E-08,-0.465976357
1.06E-08,-0.465975672
1.12E-08,-0.465975702
1.20E-08,-0.465975732
1.28E-08,-0.465975851
1.36E-08,-0.465975404
1.44E-08,-0.465975493
1.52E-08,-0.465975761
1.60E-08,-0.465975851
1.68E-08,-0.465975404
1.76E-08,-0.465975493
1.84E-08,-0.410133481
1.92E-08,-0.285676956
2.00E-08,-0.24931258
2.08E-08,-0.221906275
2.16E-08,-0.195064932
2.24E-08,-0.170219094
2.32E-08,-0.148586974
2.40E-08,-0.131387547
2.48E-08,-0.117925242
2.56E-08,-0.107296817
2.64E-08,-0.098722935
2.72E-08,-0.09163522
2.80E-08,-0.085646003
2.88E-08,-0.080493815
2.96E-08,-0.075986661
3.00E-08,-0.07394664
3.01E-08,-0.095871523
3.02E-08,-0.132522136
3.06E-08,-0.180926502
3.12E-08,-0.219088316
3.20E-08,-0.232288957
3.28E-08,-0.229035884
3.36E-08,-0.228740543
3.44E-08,-0.228675514
3.52E-08,-0.228707418
3.60E-08,-0.228710473
3.68E-08,-0.228710473
3.76E-08,-0.228710473
3.84E-08,-0.228710473
3.92E-08,-0.228710473
4.00E-08,-0.228710964
