                 Time,              V(M1:d)
0,4.53E-19
6.00E-12,3.72E-12
1.20E-11,9.76E-12
2.40E-11,2.62E-11
4.80E-11,8.10E-11
9.60E-11,2.62E-10
1.92E-10,1.19E-09
3.84E-10,3.69E-09
7.68E-10,1.88E-08
1.00E-09,2.59E-08
1.06E-09,2.33E-08
1.13E-09,2.12E-08
1.27E-09,1.84E-08
1.55E-09,2.03E-08
2.11E-09,4.39E-08
2.71E-09,6.81E-08
3.31E-09,6.81E-08
3.91E-09,6.81E-08
4.51E-09,7.88E-08
5.11E-09,7.88E-08
5.71E-09,7.88E-08
6.31E-09,7.88E-08
6.91E-09,7.88E-08
7.51E-09,6.25E-08
8.11E-09,7.88E-08
8.71E-09,7.88E-08
9.31E-09,7.88E-08
9.91E-09,7.88E-08
1.00E-08,4.74E-08
1.00E-08,0.015954401
1.00E-08,0.047863115
1.00E-08,0.111680537
1.00E-08,0.239315391
1.01E-08,0.494585097
1.02E-08,1.00512445
1.04E-08,2.026203394
1.08E-08,4.068360806
1.10E-08,5
1.10E-08,5
1.10E-08,5
1.10E-08,5
1.10E-08,5
1.11E-08,5
1.12E-08,5
1.14E-08,5
1.17E-08,5
1.23E-08,5
1.29E-08,5
1.35E-08,5
1.41E-08,5
1.47E-08,5
1.53E-08,5
1.59E-08,5
1.65E-08,5
1.71E-08,5
1.77E-08,5
1.83E-08,5
1.89E-08,5
1.95E-08,5
2.00E-08,5
2.00E-08,4.951280117
2.00E-08,4.853840351
2.01E-08,4.658961296
2.01E-08,4.269202709
2.03E-08,3.489685774
2.06E-08,1.930651784
2.10E-08,-3.81E-08
2.10E-08,-6.04E-08
2.10E-08,-5.89E-08
2.11E-08,-5.57E-08
2.11E-08,-4.95E-08
2.13E-08,-3.68E-08
2.16E-08,-1.16E-08
2.22E-08,3.87E-08
2.28E-08,8.94E-08
2.34E-08,8.94E-08
2.40E-08,8.94E-08
2.46E-08,8.94E-08
2.52E-08,8.94E-08
2.58E-08,8.94E-08
2.64E-08,8.94E-08
2.70E-08,8.94E-08
2.76E-08,8.94E-08
2.82E-08,8.94E-08
2.88E-08,8.94E-08
2.94E-08,8.94E-08
3.00E-08,8.94E-08
3.00E-08,9.17E-08
