                 Time,              V(M1:d)
0,0
8.00E-12,-2.95E-05
1.60E-11,-8.80E-05
3.20E-11,-0.000317223
6.40E-11,-0.00099331
1.28E-10,-0.00357107
2.56E-10,-0.012917975
5.12E-10,-0.043865874
1.00E-09,-0.126353249
1.05E-09,-0.152367309
1.15E-09,-0.196850181
1.36E-09,-0.27692765
1.77E-09,-0.412242174
1.87E-09,-0.442711145
2.07E-09,-0.353439361
2.47E-09,-0.391611606
2.95E-09,-0.466654092
3.75E-09,-0.465343654
4.55E-09,-0.465991765
5.35E-09,-0.46600154
6.15E-09,-0.46600008
6.95E-09,-0.465999931
7.75E-09,-0.465999871
8.55E-09,-0.465999812
9.35E-09,-0.46600011
1.00E-08,-0.466000199
1.01E-08,-0.465975583
1.02E-08,-0.465975642
1.06E-08,-0.465975612
1.12E-08,-0.465975612
1.20E-08,-0.465975642
1.28E-08,-0.465975642
1.36E-08,-0.465975642
1.44E-08,-0.465975642
1.52E-08,-0.465975642
1.60E-08,-0.465975642
1.68E-08,-0.465975642
1.76E-08,-0.465975672
1.84E-08,-0.353864759
1.92E-08,-0.167270809
2.00E-08,-0.095172375
2.08E-08,-0.0536719
2.16E-08,-0.034062997
2.24E-08,-0.025582729
2.32E-08,-0.021033427
2.40E-08,-0.018019658
2.48E-08,-0.015446264
2.56E-08,-0.01368143
2.64E-08,-0.012195919
2.72E-08,-0.011053131
2.80E-08,-0.010077045
2.88E-08,-0.009274086
2.96E-08,-0.008588737
3.00E-08,-0.008283401
3.01E-08,-0.019002417
3.02E-08,-0.027899202
3.06E-08,-0.028522562
3.12E-08,-0.025265003
3.20E-08,-0.026328366
3.28E-08,-0.026814237
3.36E-08,-0.026641084
3.44E-08,-0.026603399
3.52E-08,-0.026604103
3.60E-08,-0.02660658
3.68E-08,-0.026605472
3.76E-08,-0.026605563
3.84E-08,-0.026605563
3.92E-08,-0.026605563
4.00E-08,-0.026605651
