                 Time,              V(M1:d)
0,4.53E-19
1.00E-11,0.0005
2.00E-11,0.001
4.00E-11,0.002000008
8.00E-11,0.004000025
1.60E-10,0.008000063
2.42E-10,1.203946114
3.01E-10,1.503635287
4.09E-10,2.042611599
5.17E-10,2.581481218
7.32E-10,3.65905118
1.00E-09,4.998856544
1.04E-09,5.000004292
1.13E-09,5.000019073
1.30E-09,5.000011444
1.65E-09,5.000011444
2.34E-09,5.000011444
3.72E-09,5.000011444
5.72E-09,5.000011444
7.72E-09,5.000011921
9.72E-09,5.000011921
1.17E-08,5.000011921
1.37E-08,5.000011921
1.57E-08,5.000011921
1.77E-08,4.971640587
1.97E-08,4.893256664
2.17E-08,4.783437252
2.37E-08,4.647378922
2.57E-08,4.485256672
2.77E-08,4.293575287
2.97E-08,4.06351614
3.17E-08,3.773765564
3.37E-08,3.353352785
3.57E-08,0.698924303
3.75E-08,0.573757887
3.92E-08,0.502326727
4.11E-08,0.447446734
4.31E-08,0.400177032
4.51E-08,0.360110641
4.71E-08,0.324795544
4.91E-08,0.292887002
5.11E-08,0.263579071
5.31E-08,0.236360744
5.51E-08,0.210895523
5.71E-08,0.186958492
5.91E-08,0.164399073
6.11E-08,0.143120423
6.31E-08,0.123065777
6.51E-08,0.104211204
6.71E-08,0.086561315
6.91E-08,0.070147969
7.11E-08,0.055031396
7.31E-08,0.041303929
7.51E-08,0.029097108
7.71E-08,0.018593591
7.91E-08,0.010046801
8.11E-08,0.003813842
8.31E-08,0.000413354
8.51E-08,2.93E-06
8.71E-08,2.95E-06
8.91E-08,2.95E-06
9.11E-08,2.95E-06
9.31E-08,2.94E-06
9.51E-08,2.93E-06
9.71E-08,2.93E-06
9.91E-08,2.92E-06
1.00E-07,2.92E-06
