                 Time,               I(VT3)
0,-2.01E-12
2.00E-12,-0.184362784
2.18E-12,-0.200603694
2.53E-12,-0.232842833
3.24E-12,-0.295886517
4.66E-12,-0.416445225
7.50E-12,-0.637018323
1.32E-11,-1.007029653
2.45E-11,-1.531560183
4.67E-11,-2.059185982
8.01E-11,-2.307237148
1.39E-10,-2.363517284
2.43E-10,-2.355929136
4.43E-10,-2.359280348
6.43E-10,-2.35476017
8.43E-10,-2.35256362
1.00E-09,-2.349224806
1.02E-09,-0.054410633
1.06E-09,2.376265287
1.14E-09,2.649980545
1.30E-09,2.56319809
1.49E-09,2.612182617
1.69E-09,2.58243227
1.89E-09,2.590601444
2.00E-09,2.593350649
2.01E-09,1.423241019
2.02E-09,-0.285171539
2.05E-09,-1.953083873
2.09E-09,-2.341889858
2.13E-09,-2.356379271
2.17E-09,-2.35790062
2.26E-09,-2.358027458
2.43E-09,-2.359025002
2.63E-09,-2.359787703
2.83E-09,-2.360817909
3.00E-09,-2.363695383
3.02E-09,-0.101706669
3.06E-09,2.372380257
3.14E-09,3.172870636
3.30E-09,2.278378487
3.50E-09,2.788852453
3.70E-09,2.473181963
3.90E-09,2.668388367
4.00E-09,7.221045494
4.02E-09,5.164964199
4.06E-09,1.099386811
4.14E-09,-6.77743578
4.21E-09,-7.335558414
4.26E-09,-2.409841776
4.30E-09,-2.360920429
4.35E-09,-2.35007906
4.41E-09,-2.353437424
4.52E-09,-2.357513905
4.72E-09,-2.358302116
4.92E-09,-2.357815266
5.00E-09,-2.358048201
5.02E-09,-0.085507177
5.06E-09,2.37370944
5.14E-09,2.650638342
5.30E-09,2.562836647
5.47E-09,2.61099577
5.67E-09,2.583160639
5.87E-09,2.600371838
6.00E-09,15.44180489
6.02E-09,13.26972008
6.06E-09,8.999696732
6.14E-09,0.775872588
6.30E-09,-14.53846741
6.40E-09,-16.89318085
6.47E-09,0.349886119
6.53E-09,0.467706144
6.59E-09,-1.341458559
6.67E-09,-2.281063557
6.83E-09,-2.399080038
7.00E-09,-2.334567785
7.02E-09,-0.072808802
7.06E-09,2.374739885
7.14E-09,2.650354385
7.30E-09,2.562967777
7.45E-09,2.610046148
7.65E-09,2.599795818
7.85E-09,8.804426193
8.00E-09,23.02238464
8.02E-09,20.76239204
8.06E-09,16.33649635
8.14E-09,7.796955109
8.30E-09,-8.211528778
8.50E-09,-25.97879982
8.62E-09,-18.80932617
8.72E-09,3.52484417
8.81E-09,1.095188141
8.91E-09,-1.682756662
9.00E-09,-2.384613276
9.01E-09,-0.79424423
9.03E-09,1.370309353
9.08E-09,2.555113316
9.17E-09,2.605526924
9.27E-09,2.589112997
9.47E-09,2.596599579
9.67E-09,2.59196043
9.87E-09,19.12107277
1.00E-08,30.53286552
