                 Time,              V(M1:d)
0,2.05E-16
8.00E-12,-0.009780477
1.60E-11,-0.028285746
3.20E-11,-0.093526311
6.40E-11,-0.275438666
1.28E-10,-0.848950744
2.56E-10,-2.24786377
5.12E-10,-4.913779259
1.00E-09,-9.838502884
1.05E-09,-9.960006714
1.15E-09,-9.974468231
1.36E-09,-9.885917664
1.77E-09,-9.439264297
2.57E-09,-7.623731136
3.37E-09,-4.556105614
4.17E-09,-1.206217647
4.97E-09,-0.786576629
5.77E-09,-0.627350748
6.57E-09,-0.523220301
7.37E-09,-0.450695038
8.17E-09,-0.396724224
8.97E-09,-0.354825407
9.77E-09,-0.321170449
1.00E-08,-0.312630385
1.01E-08,-0.315127492
1.02E-08,-0.320462435
1.06E-08,-0.331729621
1.12E-08,-0.356912136
1.20E-08,-0.394656271
1.28E-08,-0.441905856
1.36E-08,-0.50315243
1.44E-08,-0.586503088
1.52E-08,-0.709228516
1.60E-08,-0.919972539
1.68E-08,-1.748969913
1.76E-08,-5.230854034
1.84E-08,-7.982959747
1.92E-08,-9.474066734
2.00E-08,-9.999915123
2.08E-08,-10.0000639
2.16E-08,-9.999995232
2.24E-08,-9.999988556
2.32E-08,-9.999995232
2.40E-08,-9.999988556
2.48E-08,-9.999994278
2.56E-08,-9.99998951
2.64E-08,-9.999994278
2.72E-08,-9.99998951
2.80E-08,-9.999993324
2.88E-08,-9.999988556
2.96E-08,-9.999993324
3.00E-08,-9.999990463
3.01E-08,-9.999991417
3.02E-08,-9.999992371
3.06E-08,-9.999992371
3.12E-08,-9.999992371
3.20E-08,-9.999992371
3.28E-08,-9.999992371
3.36E-08,-9.999992371
3.44E-08,-9.999992371
3.52E-08,-9.999992371
3.60E-08,-9.999992371
3.68E-08,-9.999992371
3.76E-08,-9.999992371
3.84E-08,-9.999992371
3.92E-08,-9.999992371
4.00E-08,-9.999991417
