                 Time,               I(VT1)
0,0
4.00E-11,-2.81E-08
8.00E-11,-5.55E-08
1.60E-10,-1.08E-07
3.20E-10,-2.10E-07
6.40E-10,-3.94E-07
1.28E-09,-7.45E-07
2.56E-09,-1.15E-07
4.28E-09,1.44E-07
6.00E-09,-2.74E-09
9.45E-09,-1.08E-08
1.35E-08,-7.80E-09
1.75E-08,-7.16E-09
2.00E-08,-6.62E-09
2.04E-08,6.03E-09
2.12E-08,7.48E-09
2.28E-08,6.52E-09
2.60E-08,7.70E-09
3.00E-08,8.73E-09
3.40E-08,1.03E-08
3.80E-08,1.33E-08
4.20E-08,1.08E-07
4.60E-08,1.27E-06
5.00E-08,2.50E-06
5.40E-08,3.74E-06
5.80E-08,4.98E-06
6.00E-08,5.60E-06
6.04E-08,5.48E-06
6.12E-08,5.23E-06
6.28E-08,4.74E-06
6.60E-08,3.75E-06
7.00E-08,2.53E-06
7.40E-08,1.44E-06
7.80E-08,5.21E-07
8.20E-08,-4.26E-07
8.60E-08,-1.44E-06
9.00E-08,-2.50E-06
9.40E-08,-3.59E-06
9.80E-08,-4.70E-06
1.00E-07,-5.27E-06
1.00E-07,-5.43E-06
1.01E-07,-5.54E-06
1.03E-07,-5.46E-06
1.06E-07,-5.07E-06
1.10E-07,-1.42E-06
1.13E-07,1.06E-06
1.15E-07,1.99E-08
1.19E-07,-1.95E-08
1.20E-07,-8.35E-10
1.20E-07,6.76E-09
1.21E-07,8.02E-09
1.22E-07,7.19E-09
1.24E-07,8.10E-09
1.28E-07,9.19E-09
1.32E-07,1.09E-08
1.36E-07,1.40E-08
1.40E-07,9.64E-08
1.44E-07,1.38E-06
1.48E-07,2.73E-06
1.52E-07,4.09E-06
1.56E-07,5.46E-06
1.60E-07,6.83E-06
1.60E-07,6.85E-06
1.60E-07,6.81E-06
1.60E-07,6.74E-06
1.61E-07,6.61E-06
1.61E-07,6.34E-06
1.63E-07,5.80E-06
1.66E-07,4.72E-06
1.70E-07,3.37E-06
1.74E-07,2.06E-06
1.78E-07,9.75E-07
1.82E-07,-4.42E-08
1.86E-07,-1.16E-06
1.90E-07,-2.31E-06
1.94E-07,-3.50E-06
1.98E-07,-4.72E-06
2.00E-07,-5.27E-06
