                 Time,              V(C2:2),              V(C1:2)
0,-6.18E-19,6.92E-19
1.00E-11,0.008914152,0.002388204
2.00E-11,0.017860088,0.004785534
4.00E-11,0.035752326,0.009580299
7.06E-11,0.063143015,0.016920486
1.01E-10,0.169679344,0.083602205
1.29E-10,0.298486382,0.149906904
1.71E-10,0.488596946,0.247620374
2.55E-10,0.862038076,0.446287006
4.23E-10,1.559514403,0.864619255
7.58E-10,2.702758789,1.80407691
1.00E-09,3.359233618,2.551754236
1.05E-09,3.271586418,2.586495638
1.15E-09,3.122265577,2.643722773
1.34E-09,2.942087173,2.713382721
1.74E-09,2.806259871,2.766417503
2.45E-09,2.752859831,2.789533615
3.33E-09,2.761849165,2.785214663
5.08E-09,2.775782824,2.778520346
7.08E-09,2.778726339,2.777202845
9.08E-09,2.778002024,2.77748704
1.00E-08,2.777548075,2.777672529
1.01E-08,2.366315603,2.53233552
1.02E-08,1.9903332,2.286271811
1.04E-08,1.261422276,1.789155841
1.08E-08,-0.179840893,0.844083369
1.10E-08,-0.698186278,0.627217591
1.10E-08,-0.688561261,0.627210617
1.10E-08,-0.672885299,0.627173364
1.10E-08,-0.653489947,0.627112687
1.10E-08,-0.638052404,0.627033949
1.11E-08,-0.624536812,0.6269418
1.11E-08,-0.614515364,0.626857698
1.12E-08,-0.601490378,0.626731098
1.14E-08,-0.588531673,0.626589358
1.16E-08,-0.575487912,0.626442194
1.20E-08,-0.564228654,0.626326919
1.25E-08,-0.552479327,0.626237094
1.33E-08,-0.541252434,0.626184046
1.45E-08,-0.52567023,0.626154304
1.61E-08,-0.50663811,0.626154304
1.73E-08,-0.49844268,0.626154304
1.87E-08,-0.491332054,0.626154304
2.00E-08,-0.48648265,0.626154304
2.00E-08,-0.415092707,0.630904555
2.01E-08,-0.212042719,0.640338838
2.01E-08,0.018548515,0.650614142
2.02E-08,0.265327394,0.667368114
2.02E-08,0.695624113,0.853273511
2.04E-08,1.293726325,1.162205577
2.06E-08,2.023516655,1.579943299
2.09E-08,3.236480951,2.51749754
2.10E-08,3.562875986,2.842667818
2.10E-08,3.508537054,2.864778042
2.11E-08,3.410588741,2.902378798
2.12E-08,3.27110672,2.956229448
2.15E-08,3.126520872,3.012530804
2.21E-08,3.047481537,3.043501377
2.29E-08,3.03075552,3.051271439
2.42E-08,3.038106203,3.04775691
2.62E-08,3.044148922,3.044867277
2.82E-08,3.044937372,3.044516087
3.00E-08,3.044740677,3.044593334
3.01E-08,2.631038189,2.799502373
3.03E-08,1.894395471,2.303117037
3.07E-08,0.42527768,1.347355127
3.07E-08,0.268768728,1.255745053
3.07E-08,0.15639548,1.195972085
3.08E-08,-0.076344296,1.094146252
3.09E-08,-0.607643425,1.027862906
3.10E-08,-0.703611493,1.001726508
3.10E-08,-0.694859505,1.001703143
3.10E-08,-0.680316985,1.001673222
3.10E-08,-0.6618644,1.001624346
3.10E-08,-0.645093143,1.001551867
3.11E-08,-0.631816149,1.001472235
3.11E-08,-0.621083975,1.00139153
3.12E-08,-0.607479811,1.001269102
3.13E-08,-0.594638169,1.001134396
3.15E-08,-0.581424236,1.000984669
3.18E-08,-0.570060849,1.000859618
3.22E-08,-0.557915509,1.000748277
3.29E-08,-0.546519101,1.000675201
3.38E-08,-0.534842491,1.000632405
3.54E-08,-0.51285398,1.000632167
3.62E-08,-0.505513668,1.000632167
3.73E-08,-0.497852713,1.000632167
3.93E-08,-0.488953292,1.000632167
4.00E-08,-0.486516684,1.000632167
4.00E-08,-0.459546715,1.003294349
4.00E-08,-0.346696824,1.008624554
4.01E-08,-0.196353599,1.015501022
