                 Time,              V(C2:2),              V(C1:2)
4.01E-08,-0.028681615,1.023044825
4.02E-08,0.312635332,1.036978245
4.03E-08,0.937702358,1.223740339
4.05E-08,1.770378232,1.646623254
4.08E-08,3.098462105,2.498898745
4.10E-08,3.735547066,3.055809975
4.11E-08,3.66510272,3.084117651
4.12E-08,3.543859959,3.130821466
4.14E-08,3.394037247,3.188980103
4.18E-08,3.275783539,3.235307932
4.26E-08,3.223493814,3.257807016
4.37E-08,3.231978178,3.253760815
4.57E-08,3.244958401,3.247571468
4.77E-08,3.247708559,3.246341944
4.97E-08,3.247093439,3.246584177
5.00E-08,3.246839046,3.246684313
5.00E-08,3.045922995,3.135667324
5.01E-08,2.656192303,2.906438589
5.03E-08,1.926764846,2.428918123
5.07E-08,0.480684429,1.515547276
5.10E-08,-0.672165692,1.298583984
5.10E-08,-0.667776287,1.298597574
5.10E-08,-0.658545315,1.29856348
5.10E-08,-0.645237684,1.298504472
5.11E-08,-0.63019985,1.298413396
5.11E-08,-0.614278972,1.298287034
5.12E-08,-0.603795052,1.298184752
5.13E-08,-0.590399802,1.298039079
5.15E-08,-0.579040051,1.297909141
5.19E-08,-0.565474331,1.297764421
5.24E-08,-0.555149794,1.297679543
5.32E-08,-0.543011785,1.297622681
5.42E-08,-0.533223927,1.297612071
5.59E-08,-0.508018196,1.297604799
5.68E-08,-0.500507593,1.297603846
5.81E-08,-0.493336052,1.297603369
6.00E-08,-0.485406876,1.297603011
6.00E-08,-0.371719748,1.304352283
6.01E-08,-0.082041681,1.317608237
6.02E-08,0.381335199,1.336423397
6.03E-08,0.806985378,1.383503914
6.04E-08,1.556024313,1.719671845
6.07E-08,2.843758345,2.46038723
6.10E-08,3.860461473,3.229486942
6.10E-08,3.820373297,3.246171474
6.11E-08,3.752242088,3.272391558
6.12E-08,3.638809204,3.316277266
6.15E-08,3.508422613,3.367113829
6.20E-08,3.419580936,3.402002096
6.29E-08,3.404407501,3.40818882
6.43E-08,3.404314518,3.408232927
6.63E-08,3.408405066,3.406404734
6.83E-08,3.407524586,3.406751871
7.00E-08,3.407038212,3.406943321
7.01E-08,2.990118504,3.162273407
7.03E-08,2.212775707,2.64834094
7.07E-08,0.62683773,1.693441987
7.10E-08,-0.660370886,1.521120071
7.10E-08,-0.657758832,1.521143794
7.10E-08,-0.651021004,1.521113515
7.10E-08,-0.640549779,1.521059036
7.11E-08,-0.62645781,1.520971298
7.11E-08,-0.609261572,1.520842195
7.12E-08,-0.597356498,1.520718694
7.14E-08,-0.584502995,1.520573378
7.16E-08,-0.576033354,1.52047658
7.19E-08,-0.564424217,1.520355582
7.25E-08,-0.552526116,1.520263076
7.34E-08,-0.540791631,1.520218372
7.45E-08,-0.527463555,1.520211339
7.65E-08,-0.504391134,1.520211339
7.78E-08,-0.495683968,1.520211339
7.93E-08,-0.488599867,1.520211339
8.00E-08,-0.486140013,1.520211339
8.00E-08,-0.458191097,1.522930622
8.00E-08,-0.342876762,1.528374314
8.01E-08,-0.19087252,1.535323739
8.01E-08,-0.018476719,1.543062806
8.02E-08,0.332797378,1.557284594
8.03E-08,1.034904003,1.636564493
8.06E-08,2.256750584,2.217429399
8.10E-08,3.962466955,3.357126236
8.10E-08,3.909328222,3.378499985
8.11E-08,3.824965,3.411043406
8.13E-08,3.694135427,3.461856365
8.17E-08,3.565009117,3.512425661
8.24E-08,3.525335073,3.52821207
8.34E-08,3.520187378,3.530655622
8.52E-08,3.530730009,3.525927782
8.72E-08,3.528831959,3.52667594
8.92E-08,3.527465582,3.527214766
9.00E-08,3.527308226,3.527276993
9.01E-08,3.109337091,3.282770872
9.02E-08,2.697191954,3.021073818
9.04E-08,1.889519811,2.496712208
9.08E-08,0.117152058,1.757452846
9.10E-08,-0.662968636,1.703257561
9.10E-08,-0.661111534,1.703261614
9.10E-08,-0.655740857,1.703239202
9.10E-08,-0.646911979,1.703197956
9.10E-08,-0.634512305,1.703128934
9.11E-08,-0.618720412,1.703022122
9.12E-08,-0.604602396,1.7028898
9.13E-08,-0.592194855,1.702755094
9.14E-08,-0.582523584,1.702643633
9.17E-08,-0.569820285,1.702502131
9.22E-08,-0.55823034,1.702394962
9.29E-08,-0.546221673,1.702325463
9.38E-08,-0.536300659,1.702306628
9.53E-08,-0.515262127,1.702295303
9.62E-08,-0.506261051,1.702293277
9.80E-08,-0.4941625,1.702291727
1.00E-07,-0.486319959,1.702291727
