                 Time,              V(M1:d)
0,2.40E-28
8.00E-12,-0.000299327
1.60E-11,-0.000896367
3.20E-11,-0.003271555
6.40E-11,-0.010379505
1.28E-10,-0.038718421
2.56E-10,-0.155321181
5.12E-10,-3.408236027
1.00E-09,-10.89588356
1.05E-09,-10.09378338
1.15E-09,-9.858242989
1.36E-09,-9.732168198
1.77E-09,-9.569353104
2.57E-09,-9.089811325
3.37E-09,-8.45579052
4.17E-09,-7.704875469
4.97E-09,-6.870521069
5.77E-09,-5.991390228
6.57E-09,-5.093944073
7.37E-09,-4.187417507
8.17E-09,-3.815773964
8.97E-09,-3.529172659
9.77E-09,-3.237091064
1.00E-08,-3.149324894
1.01E-08,-3.068883896
1.02E-08,-2.937596321
1.06E-08,-2.794906139
1.12E-08,-2.783607006
1.20E-08,-2.997475863
1.28E-08,-3.41079545
1.36E-08,-4.990492821
1.44E-08,-5.806023121
1.52E-08,-6.304563522
1.60E-08,-7.221498489
1.68E-08,-7.958164215
1.76E-08,-8.608117104
1.84E-08,-9.157114983
1.92E-08,-9.582183838
2.00E-08,-9.86538887
2.08E-08,-9.993183136
2.16E-08,-10.00067329
2.24E-08,-10.00008297
2.32E-08,-9.999908447
2.40E-08,-9.999987602
2.48E-08,-9.999992371
2.56E-08,-9.999992371
2.64E-08,-9.999992371
2.72E-08,-9.999992371
2.80E-08,-9.999992371
2.88E-08,-9.999992371
2.96E-08,-9.999991417
3.00E-08,-9.999990463
3.01E-08,-9.999993324
3.02E-08,-9.999990463
3.06E-08,-9.999991417
3.12E-08,-9.999991417
3.20E-08,-9.999992371
3.28E-08,-9.999992371
3.36E-08,-9.999992371
3.44E-08,-9.999992371
3.52E-08,-9.999992371
3.60E-08,-9.999992371
3.68E-08,-9.999992371
3.76E-08,-9.999992371
3.84E-08,-9.999992371
3.92E-08,-9.999992371
4.00E-08,-9.999992371
