                 Time,              V(C1:2)
0,-6.93E-19
2.00E-11,-6.93E-19
4.00E-11,-6.93E-19
8.00E-11,-6.93E-19
1.60E-10,-6.93E-19
3.20E-10,-6.93E-19
6.40E-10,-6.93E-19
1.28E-09,-6.93E-19
2.00E-09,-1.13E-10
2.01E-09,-0.001661837
2.03E-09,-0.005107333
2.07E-09,-0.012112342
2.13E-09,-0.021859091
2.24E-09,-0.042036645
2.46E-09,-0.084703006
2.91E-09,-0.177033633
3.77E-09,-0.36712867
4.98E-09,-0.63956219
6.27E-09,-0.773969471
7.74E-09,-0.824949503
1.01E-08,-0.852169037
1.20E-08,-0.860281289
1.22E-08,-0.777503431
1.25E-08,-0.615419447
1.31E-08,-0.311258286
1.44E-08,0.242622778
1.60E-08,0.904653907
1.92E-08,2.215347052
2.20E-08,3.423760176
2.26E-08,3.384559393
2.32E-08,3.347878695
2.43E-08,3.276724577
2.65E-08,3.14208889
3.10E-08,2.897003651
3.20E-08,2.846905231
3.26E-08,2.869024038
3.38E-08,2.898897648
3.61E-08,2.914340258
3.80E-08,2.914739132
3.85E-08,2.972103119
3.89E-08,3.009119749
3.96E-08,3.066786766
4.12E-08,3.121998072
4.43E-08,3.160395861
4.75E-08,3.184630632
4.80E-08,3.188984871
4.81E-08,3.119010448
4.84E-08,2.980962276
4.89E-08,2.716032505
5.00E-08,2.214881182
5.20E-08,1.265514851
5.52E-08,-0.14328374
5.80E-08,-1.347879529
5.83E-08,-1.329416394
5.88E-08,-1.291463375
5.99E-08,-1.2128793
6.20E-08,-1.042854548
6.63E-08,-0.563517153
6.80E-08,0.007213762
6.80E-08,0.007412719
6.80E-08,0.007469727
6.81E-08,0.007562097
6.81E-08,0.007675264
6.83E-08,0.007881268
6.85E-08,0.008222799
6.90E-08,0.008696178
7.00E-08,0.009160031
7.15E-08,0.009351344
7.34E-08,0.009404295
7.40E-08,0.009397757
7.40E-08,0.008249327
7.40E-08,0.005839814
7.41E-08,0.000961627
7.41E-08,-0.008986072
7.42E-08,-0.029621668
7.45E-08,-0.073390402
7.49E-08,-0.156378075
7.57E-08,-0.334547073
7.68E-08,-0.598152339
7.82E-08,-0.767514944
7.97E-08,-0.825315058
8.13E-08,-0.850561202
8.34E-08,-0.861211836
8.40E-08,-0.861994803
8.40E-08,-0.83752656
8.41E-08,-0.788591385
8.43E-08,-0.692675948
8.47E-08,-0.508097947
8.55E-08,-0.16506803
8.70E-08,0.470696062
8.89E-08,1.257305503
9.27E-08,2.865415812
9.40E-08,3.423929691
