                 Time,              V(C1:2)
9.43E-08,3.40357852
9.49E-08,3.363278866
9.61E-08,3.28538084
9.86E-08,3.138863802
1.03E-07,2.874148369
1.04E-07,2.846866846
1.04E-07,2.864908218
1.05E-07,2.891456604
1.07E-07,2.910821199
1.10E-07,2.915085793
1.10E-07,2.961130381
1.11E-07,3.03399539
1.12E-07,3.105997562
1.15E-07,3.152233124
1.18E-07,3.173661709
1.20E-07,3.189057827
1.20E-07,2.997923374
1.21E-07,2.789301395
1.22E-07,2.386474371
1.23E-07,1.620033622
1.27E-07,0.151271731
1.30E-07,-1.347173333
1.30E-07,-1.322741389
1.31E-07,-1.272194386
1.32E-07,-1.165922523
1.35E-07,-0.927392125
1.39E-07,-0.255252391
1.39E-07,-0.230079994
1.39E-07,-0.205690458
1.40E-07,-0.157161891
1.40E-07,-0.061111122
1.40E-07,-0.00746846
1.40E-07,-0.007324535
1.40E-07,-0.007214035
1.40E-07,-0.007028514
1.40E-07,-0.00669802
1.40E-07,-0.006058903
1.40E-07,-0.004868581
1.40E-07,-0.002798897
1.41E-07,0.000316381
1.41E-07,0.003570078
1.42E-07,0.004839414
1.42E-07,0.005632175
1.43E-07,0.006181301
1.44E-07,0.006515631
1.46E-07,0.006686725
1.46E-07,0.006688937
1.46E-07,0.005762435
1.46E-07,0.003802146
1.46E-07,-0.000163696
1.46E-07,-0.008219768
1.46E-07,-0.024841515
1.46E-07,-0.059843585
1.47E-07,-0.131159261
1.47E-07,-0.285453707
1.48E-07,-0.522835553
1.50E-07,-0.754454911
1.52E-07,-0.823363423
1.53E-07,-0.84313035
1.54E-07,-0.855016053
1.56E-07,-0.860885322
1.56E-07,-0.795194983
1.56E-07,-0.666278243
1.57E-07,-0.420636803
1.58E-07,0.029527014
1.60E-07,0.694494188
1.62E-07,1.664951086
1.66E-07,3.423726082
1.66E-07,3.392521143
1.67E-07,3.331472158
1.69E-07,3.215229273
1.73E-07,3.001702785
1.76E-07,2.846925259
1.77E-07,2.869039774
1.78E-07,2.898908377
1.80E-07,2.914560795
1.82E-07,2.914772987
1.82E-07,2.973274946
1.83E-07,3.009787321
1.84E-07,3.066782475
1.85E-07,3.121686459
1.88E-07,3.160078526
1.91E-07,3.184411526
1.92E-07,3.188997269
1.92E-07,3.116502285
1.92E-07,2.973566055
1.93E-07,2.699539423
1.94E-07,2.181518078
1.96E-07,1.19968152
1.99E-07,-0.213948548
2.02E-07,-1.347873688
2.02E-07,-1.330786824
2.03E-07,-1.295686722
2.04E-07,-1.223209739
2.06E-07,-1.067502141
2.10E-07,-0.690073013
2.12E-07,-0.001805471
2.12E-07,-0.001626978
2.12E-07,-0.001565938
2.12E-07,-0.001476672
2.12E-07,-0.001353174
2.12E-07,-0.001117805
2.12E-07,-0.00069236
2.13E-07,6.23E-06
2.13E-07,0.000940472
2.14E-07,0.001444647
2.14E-07,0.001763835
2.15E-07,0.001941531
2.16E-07,0.002082489
2.17E-07,0.002133148
2.18E-07,0.002151225
2.18E-07,9.79E-06
2.18E-07,-0.004407412
2.18E-07,-0.013417723
2.18E-07,-0.030702166
2.18E-07,-0.067182332
2.19E-07,-0.145956323
2.19E-07,-0.303932786
2.21E-07,-0.556625128
2.22E-07,-0.760957539
2.24E-07,-0.824155927
2.25E-07,-0.843329132
2.26E-07,-0.855520666
2.28E-07,-0.860996485
2.28E-07,-0.800391972
2.28E-07,-0.681236744
2.29E-07,-0.453410804
2.30E-07,-0.03549723
2.32E-07,0.695200384
2.34E-07,1.597311258
2.38E-07,3.423613071
2.38E-07,3.394545317
2.39E-07,3.337552071
2.41E-07,3.22877264
2.45E-07,3.028032541
2.48E-07,2.846684694
2.49E-07,2.868820906
2.50E-07,2.898718596
2.52E-07,2.914386511
2.54E-07,2.914598942
2.54E-07,2.973100901
2.55E-07,3.009613276
2.56E-07,3.066608429
2.57E-07,3.121512651
2.60E-07,3.159904957
2.63E-07,3.184237957
2.64E-07,3.188823938
2.64E-07,3.116316557
2.64E-07,2.973356485
2.65E-07,2.699285507
2.66E-07,2.181182146
2.68E-07,1.199187517
2.71E-07,-0.214596003
2.74E-07,-1.3480407
2.74E-07,-1.330959916
2.75E-07,-1.295872808
2.76E-07,-1.223423243
2.78E-07,-1.067779183
2.82E-07,-0.690546334
2.84E-07,-0.006675163
2.84E-07,-0.006492636
2.84E-07,-0.006421652
2.84E-07,-0.006311464
2.84E-07,-0.006160351
2.84E-07,-0.005873263
2.84E-07,-0.005357433
2.85E-07,-0.00452167
2.85E-07,-0.003414762
2.86E-07,-0.002816779
2.86E-07,-0.002508184
2.87E-07,-0.002324561
2.88E-07,-0.002165503
2.89E-07,-0.002085634
2.90E-07,-0.002071613
2.90E-07,-0.004233871
2.90E-07,-0.008693271
2.90E-07,-0.017790889
2.90E-07,-0.034648314
2.90E-07,-0.070185959
2.91E-07,-0.146842286
2.91E-07,-0.29935208
2.93E-07,-0.546213031
2.94E-07,-0.759359419
2.96E-07,-0.823857486
2.97E-07,-0.843030512
2.98E-07,-0.855404675
3.00E-07,-0.861204028
