                 Time,              V(M1:d)
0,-5.47E-28
1.00E-11,0.008599576
2.00E-11,0.016786981
4.00E-11,0.032137785
8.00E-11,0.059570815
1.60E-10,0.108707115
3.20E-10,0.218106985
6.40E-10,0.884561539
1.00E-09,2.51439929
1.06E-09,2.753823757
1.15E-09,3.039258957
1.33E-09,3.512917519
1.69E-09,4.152684212
2.40E-09,4.735554695
3.82E-09,4.973465919
5.80E-09,4.989786148
7.80E-09,4.939023972
9.80E-09,4.88841629
1.18E-08,4.863127232
1.38E-08,4.828241348
1.58E-08,4.790393829
1.78E-08,4.748028278
1.98E-08,4.701081276
2.18E-08,4.649211884
2.38E-08,4.592059135
2.58E-08,4.52910471
2.78E-08,4.459849834
2.98E-08,4.383644581
3.18E-08,4.299700737
3.38E-08,4.207034111
3.58E-08,4.104388714
3.78E-08,3.99011445
3.98E-08,3.861965656
4.18E-08,3.716743231
4.38E-08,3.54959631
4.58E-08,3.352475166
4.78E-08,3.109745979
4.98E-08,2.805502176
5.18E-08,2.509312391
5.38E-08,2.160898685
5.58E-08,1.836078644
5.78E-08,1.601238847
5.98E-08,1.409102678
6.18E-08,1.246124268
6.38E-08,1.104671597
6.58E-08,0.980401278
6.78E-08,0.869589388
6.98E-08,0.770334303
7.18E-08,0.680993497
7.38E-08,0.600322366
7.58E-08,0.527339339
7.78E-08,0.461257279
7.98E-08,0.401432425
8.18E-08,0.347329736
8.38E-08,0.298498541
8.58E-08,0.254554391
8.78E-08,0.215166062
8.98E-08,0.180045396
9.18E-08,0.14893958
9.38E-08,0.121625185
9.58E-08,0.097903401
9.78E-08,0.077596232
9.98E-08,0.060543388
1.00E-07,0.059028976
