                 Time,              V(C1:2)
9.40E-08,3.610723495
9.44E-08,3.588284731
9.51E-08,3.543976068
9.66E-08,3.459059477
9.96E-08,3.301600456
1.04E-07,3.091331005
1.05E-07,3.086516142
1.06E-07,3.081317663
1.08E-07,3.08073163
1.10E-07,3.080760717
1.10E-07,3.128789186
1.11E-07,3.187547684
1.13E-07,3.271146059
1.15E-07,3.847870827
1.18E-07,4.450496197
1.20E-07,4.961173534
1.20E-07,4.938596249
1.20E-07,4.891847134
1.20E-07,4.79426527
1.21E-07,4.682563305
1.21E-07,4.605325699
1.21E-07,4.505457878
1.21E-07,4.410989285
1.22E-07,4.224882603
1.22E-07,4.037637234
1.23E-07,3.704763651
1.23E-07,3.354029655
1.25E-07,2.652556181
1.27E-07,1.447212577
1.30E-07,-0.004393697
1.30E-07,-0.004558935
1.30E-07,-0.004565154
1.30E-07,-0.004567373
1.30E-07,-0.004572753
1.31E-07,-0.004578328
1.31E-07,-0.004580255
1.33E-07,-0.004580638
1.36E-07,-0.004579909
1.40E-07,-0.004580112
1.40E-07,-0.004580153
1.41E-07,-0.004580192
1.43E-07,-0.004580229
1.46E-07,-0.004580196
1.46E-07,-0.012099125
1.46E-07,-0.02794349
1.46E-07,-0.062998421
1.47E-07,-0.133667588
1.47E-07,-0.23322247
1.48E-07,-0.421837151
1.49E-07,-0.618763506
1.51E-07,-0.659219682
1.52E-07,-0.66477567
1.54E-07,-0.666535974
1.56E-07,-0.674305975
1.56E-07,-0.615542293
1.56E-07,-0.503227055
1.57E-07,-0.298384488
1.58E-07,0.062969543
1.59E-07,0.626127303
1.61E-07,1.434106231
1.65E-07,3.116312265
1.66E-07,3.610659838
1.66E-07,3.593001842
1.67E-07,3.557909727
1.68E-07,3.490059853
1.70E-07,3.362524986
1.75E-07,3.132836819
1.76E-07,3.091327906
1.77E-07,3.08648324
1.78E-07,3.081269503
1.80E-07,3.080708981
1.82E-07,3.080738544
1.82E-07,3.128985167
1.83E-07,3.153761864
1.84E-07,3.187239885
1.85E-07,3.20709753
1.87E-07,3.763865709
1.89E-07,4.322049618
1.92E-07,4.959331036
1.92E-07,4.932314396
1.92E-07,4.876283169
1.92E-07,4.758983135
1.93E-07,4.655691147
1.93E-07,4.5811553
1.93E-07,4.508527279
1.93E-07,4.365153313
1.94E-07,4.193056107
1.94E-07,3.926788092
1.95E-07,3.627346754
1.96E-07,3.090174198
1.97E-07,2.292596102
2.01E-07,0.697442055
2.02E-07,-0.006144946
2.02E-07,-0.006308175
2.02E-07,-0.006315982
2.02E-07,-0.006315802
2.02E-07,-0.006319874
2.02E-07,-0.006325392
2.03E-07,-0.006329833
2.04E-07,-0.006331253
2.06E-07,-0.006331419
2.09E-07,-0.006331164
2.12E-07,-0.006331063
2.12E-07,-0.006331027
2.13E-07,-0.006331088
2.14E-07,-0.00633115
2.16E-07,-0.006331112
2.18E-07,-0.006331115
2.18E-07,-0.0110673
2.18E-07,-0.021017728
2.18E-07,-0.042414498
2.18E-07,-0.089759961
2.19E-07,-0.170017287
2.19E-07,-0.301522374
2.20E-07,-0.527354181
2.22E-07,-0.641426265
2.23E-07,-0.661187172
2.25E-07,-0.669240475
2.28E-07,-0.671362877
2.28E-07,-0.673338354
2.28E-07,-0.654421985
2.28E-07,-0.616773665
2.28E-07,-0.544589877
2.28E-07,-0.410251945
2.29E-07,-0.167917714
2.30E-07,0.270553708
2.31E-07,0.75720036
2.34E-07,1.759825468
2.38E-07,3.610385895
2.38E-07,3.581400156
2.39E-07,3.524506807
2.41E-07,3.416490316
2.45E-07,3.219500065
2.48E-07,3.091308594
2.49E-07,3.086457014
2.50E-07,3.081235886
2.52E-07,3.080674648
2.54E-07,3.080704212
2.54E-07,3.128951073
2.55E-07,3.15372777
2.56E-07,3.187205553
2.57E-07,3.207063437
2.59E-07,3.761916161
2.61E-07,4.320833683
2.64E-07,4.957104683
2.64E-07,4.931192398
2.64E-07,4.877473354
2.64E-07,4.76508522
2.65E-07,4.661380291
2.65E-07,4.575742245
2.65E-07,4.484311104
2.65E-07,4.324481964
2.66E-07,4.128354073
2.66E-07,3.834244013
2.67E-07,3.476126909
2.68E-07,2.819867611
2.71E-07,1.700114965
2.74E-07,-0.00838622
2.74E-07,-0.008551884
2.74E-07,-0.008557937
2.74E-07,-0.008561084
2.74E-07,-0.008566798
2.75E-07,-0.00857223
2.76E-07,-0.008573441
2.77E-07,-0.008573603
2.81E-07,-0.008573147
2.84E-07,-0.008573284
2.84E-07,-0.008573305
2.85E-07,-0.008573325
2.86E-07,-0.008573346
2.89E-07,-0.00857337
2.90E-07,-0.008573338
2.90E-07,-0.012379352
2.90E-07,-0.020310309
2.90E-07,-0.037301723
2.90E-07,-0.065563753
2.91E-07,-0.118135303
2.91E-07,-0.212531567
2.92E-07,-0.375634432
2.93E-07,-0.606620729
2.95E-07,-0.663684905
2.96E-07,-0.667768478
2.98E-07,-0.666669965
3.00E-07,-0.674391329
