                 Time,              V(C1:2)
0,-6.93E-19
2.00E-11,-6.93E-19
4.00E-11,-6.93E-19
8.00E-11,-6.93E-19
1.60E-10,-6.93E-19
3.20E-10,-6.93E-19
6.40E-10,-6.93E-19
1.28E-09,-6.93E-19
2.00E-09,-1.25E-10
2.01E-09,-0.001675237
2.03E-09,-0.005176365
2.07E-09,-0.012453573
2.13E-09,-0.023538187
2.25E-09,-0.047321428
2.49E-09,-0.099282488
2.87E-09,-0.189403012
3.50E-09,-0.34611249
4.57E-09,-0.596543074
6.08E-09,-0.656906843
7.18E-09,-0.66517508
9.21E-09,-0.663887441
1.20E-08,-0.674467146
1.21E-08,-0.594325304
1.24E-08,-0.443304569
1.30E-08,-0.172232106
1.42E-08,0.308246732
1.56E-08,0.864335537
1.83E-08,2.015684605
2.20E-08,3.610645771
2.26E-08,3.577513218
2.37E-08,3.512817621
2.59E-08,3.390973806
3.03E-08,3.170930147
3.20E-08,3.091394901
3.26E-08,3.086543083
3.38E-08,3.081321478
3.62E-08,3.080760241
3.80E-08,3.080789804
3.85E-08,3.129036665
3.88E-08,3.153813362
3.96E-08,3.187291384
4.11E-08,3.207149029
4.32E-08,3.766861439
4.54E-08,4.323848724
4.80E-08,4.962691784
4.81E-08,4.93398428
4.82E-08,4.874410152
4.85E-08,4.749584675
4.87E-08,4.646841049
4.88E-08,4.576986313
4.90E-08,4.48777771
4.92E-08,4.390959263
4.96E-08,4.213978767
4.99E-08,4.024629593
5.06E-08,3.715422392
5.13E-08,3.367994308
5.26E-08,2.673126221
5.49E-08,1.566770315
5.80E-08,-0.002761798
5.80E-08,-0.00292728
5.81E-08,-0.002933413
5.82E-08,-0.00293589
5.84E-08,-0.002941345
5.88E-08,-0.002946801
5.96E-08,-0.002948404
6.12E-08,-0.002948678
6.44E-08,-0.002948072
6.80E-08,-0.002948247
6.84E-08,-0.002948278
6.91E-08,-0.002948306
7.06E-08,-0.002948332
7.35E-08,-0.002948364
7.40E-08,-0.002948333
7.40E-08,-0.005442414
7.40E-08,-0.010634275
7.41E-08,-0.021565225
7.42E-08,-0.035229996
7.43E-08,-0.064554371
7.46E-08,-0.127662063
7.50E-08,-0.234666824
7.58E-08,-0.422393322
7.71E-08,-0.62118423
7.87E-08,-0.658671916
7.98E-08,-0.664617538
8.21E-08,-0.666931033
8.40E-08,-0.674253702
8.41E-08,-0.61947459
8.43E-08,-0.514466107
8.47E-08,-0.322225958
8.55E-08,0.017406514
8.69E-08,0.60823524
8.88E-08,1.356903672
9.24E-08,2.914917469
